local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-07-29,21.0,14.8,18.6,16.516666666666666,85.75,3.05125,4.56,3.9,88.875
2024-07-30,24.0,16.2,22.5,18.745833333333334,83.20833333333333,3.2216666666666662,4.67,0.6,75.25
2024-07-31,26.0,15.8,25.7,19.804166666666667,76.33333333333333,2.0229166666666667,3.5,0.0,44.916666666666664
2024-08-01,29.0,15.6,29.3,22.354166666666668,67.70833333333333,2.8516666666666666,4.11,0.0,16.25
2024-08-02,29.0,18.4,29.4,23.47083333333333,65.5,2.2579166666666666,3.92,0.0,19.958333333333332
2024-08-03,28.0,14.4,27.6,20.712500000000002,70.08333333333333,1.9466666666666665,3.42,0.0,46.416666666666664
2024-08-04,28.0,14.9,28.6,21.016666666666666,69.83333333333333,2.2695833333333333,3.34,0.0,28.875
2024-08-05,24.0,14.1,24.5,18.787499999999998,75.45833333333333,2.3454166666666665,3.09,0.0,29.0
2024-08-06,21.0,12.4,20.6,16.220833333333335,77.0,2.0816666666666666,2.83,0.0,64.66666666666667
2024-08-07,26.0,12.2,25.7,18.587500000000002,71.75,1.9495833333333332,3.41,0.0,32.291666666666664
2024-08-08,30.0,14.9,29.6,22.308333333333334,61.0,1.9266666666666667,3.6,0.0,5.458333333333333
2024-08-09,29.0,16.7,28.8,22.754166666666666,65.58333333333333,1.6725,2.42,0.0,16.375
2024-08-10,25.0,14.8,25.4,19.208333333333332,80.33333333333333,2.56,3.7,0.0,43.208333333333336
2024-08-11,21.0,15.1,20.8,17.279166666666665,80.70833333333333,2.35875,3.22,0.0,73.125
2024-08-12,22.0,13.7,21.3,17.425,69.91666666666667,2.723333333333333,4.26,0.0,64.79166666666667
2024-08-13,21.0,13.7,21.1,17.45,73.08333333333333,2.1058333333333334,2.88,0.0,60.625
2024-08-14,25.0,15.1,24.7,19.724999999999998,68.41666666666667,1.3604166666666666,3.11,0.0,48.25
2024-08-15,23.0,14.4,23.2,18.504166666666666,74.04166666666667,2.222916666666667,3.83,0.0,26.541666666666668
2024-08-16,23.0,14.7,22.8,18.295833333333334,64.875,1.9904166666666665,3.35,0.0,46.583333333333336
2024-08-17,26.0,13.4,25.4,19.129166666666666,73.79166666666667,3.1649999999999996,5.64,4.1,29.458333333333332
